Portfolio_ID,Manager_Name,Portfolio_Type,Assets_Under_Management_Million,Region,Risk_Exposure_Score,Diversification_Score,Style_Drift_Score,Governance_Compliance_Score,Overall_Risk_Level,Performance_Indicator,GIPS_Compliant,UCITS_Compliant,AIFMD_Compliant,Audit_Report_Generated,Flagged_For_Review,Flag_Reason
PORT_d356653c,Andrew Hernandez,Equity,9301.21,Global,0.34,0.13,0.45,0.88,Moderate,Meeting Benchmark,No,Yes,No,No,No,None
PORT_608191ef,Brandy Mccarthy,Real Assets,6777.96,U.S.,0.68,0.72,0.88,0.17,High,Above Benchmark,Yes,Yes,No,Yes,No,None
PORT_45a12690,Holly Fisher,Fixed Income,2195.89,Global,0.1,0.44,0.11,0.94,Moderate,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_f0295c06,Jason White,Hedge Fund,264.22,EU,0.81,0.08,0.72,0.96,Low,Above Benchmark,Yes,No,Yes,Yes,No,None
PORT_989e5226,Mary Pierce,Real Assets,3027.52,Asia-Pacific,0.01,0.9,0.92,0.51,High,Below Benchmark,Yes,Yes,No,No,No,None
PORT_2320017f,Tammy Zamora DDS,Real Assets,705.21,U.S.,0.58,0.25,0.92,0.39,High,Above Benchmark,Yes,Yes,No,No,Yes,Conflict of Interest
PORT_e476c377,Peter Harding,Fixed Income,6752.22,EU,0.62,0.89,0.99,0.5,Moderate,Below Benchmark,Yes,No,Yes,No,No,None
PORT_c6b14b5f,Jordan Rios,Hedge Fund,7895.01,U.S.,0.43,0.88,0.71,0.84,Moderate,Above Benchmark,No,No,Yes,No,No,None
PORT_6caff22e,Samantha Mendoza,Fixed Income,3960.28,Asia-Pacific,0.85,0.04,0.02,0.73,High,Meeting Benchmark,Yes,Yes,No,Yes,No,None
PORT_b70ff99d,Robert Marshall,Fixed Income,5366.22,Global,0.06,0.11,0.74,0.74,Low,Above Benchmark,No,Yes,Yes,Yes,No,None
PORT_6cf29cef,Diane Ryan,Balanced,3375.77,Global,0.72,0.95,0.7,0.78,High,Below Benchmark,No,No,No,No,No,None
PORT_9446889f,Laurie Hartman,Real Assets,6028.56,U.S.,0.16,0.17,0.02,0.45,Low,Meeting Benchmark,No,No,Yes,Yes,No,None
PORT_c8b4c61f,Christopher Brooks,Equity,6347.93,U.S.,0.87,0.32,0.19,0.49,Low,Below Benchmark,Yes,No,Yes,No,No,None
PORT_ecd314a7,Katherine Watson,Equity,8867.55,EU,0.41,0.81,0.59,0.67,High,Above Benchmark,Yes,No,No,No,Yes,Diversification Breach
PORT_5cf8d295,Christopher Garcia,Fixed Income,2918.12,Global,0.91,0.15,0.58,0.48,Moderate,Below Benchmark,No,No,No,No,Yes,None
PORT_421e6a32,Angel Berry,Fixed Income,5459.02,EU,0.75,0.27,0.17,0.95,Moderate,Meeting Benchmark,No,Yes,Yes,No,Yes,Style Drift
PORT_2b12c8c0,Katie Marquez,Balanced,5278.31,EU,0.79,0.34,0.41,0.74,Moderate,Below Benchmark,Yes,Yes,No,Yes,No,None
PORT_1b0f1014,Katherine Fox,Balanced,6623.99,Asia-Pacific,0.18,0.96,0.04,0.41,Low,Above Benchmark,Yes,Yes,No,No,Yes,Style Drift
PORT_1095c382,Mark Fox,Real Assets,1097.4,EU,0.38,0.66,0.81,0.9,High,Above Benchmark,No,Yes,No,No,Yes,Style Drift
PORT_44c37e27,Todd Welch,Equity,5582.59,EU,0.76,0.92,0.26,0.59,High,Above Benchmark,No,No,Yes,Yes,Yes,None
PORT_50dd06ba,Steven Hines,Hedge Fund,2090.31,Global,0.35,0.95,0.32,0.28,High,Below Benchmark,Yes,No,No,Yes,No,None
PORT_17e1e88e,Gail Castillo,Equity,7829.03,Asia-Pacific,0.33,0.18,0.04,0.41,High,Above Benchmark,No,Yes,Yes,Yes,No,None
PORT_e9b5eb8b,Nicholas Pittman,Equity,7263.63,Global,0.75,0.65,0.41,0.12,Low,Below Benchmark,Yes,Yes,No,Yes,Yes,Style Drift
PORT_909718d2,Michelle Thomas,Equity,3997.6,U.S.,0.81,0.29,0.6,0.29,High,Below Benchmark,Yes,No,No,Yes,No,None
PORT_3559c7be,Brenda Aguirre,Real Assets,7475.85,U.S.,0.31,0.02,0.59,0.64,Low,Below Benchmark,No,No,Yes,No,No,None
PORT_89a8e25e,Michael Garner,Hedge Fund,4270.43,Global,0.72,0.28,0.79,0.44,Low,Meeting Benchmark,Yes,No,No,No,No,None
PORT_7f0dbf8f,Justin Wright,Fixed Income,9889.46,U.S.,0.04,0.32,0.46,0.8,Moderate,Above Benchmark,No,Yes,No,No,Yes,Style Drift
PORT_acf30c1f,Catherine Bird,Equity,9515.31,EU,0.51,0.34,0.39,1.0,High,Below Benchmark,No,No,Yes,Yes,No,None
PORT_c25a227c,Abigail Moore,Hedge Fund,7436.65,EU,0.48,0.75,0.94,0.97,High,Meeting Benchmark,No,No,Yes,No,No,None
PORT_e0457b1d,Michael Little,Hedge Fund,767.96,EU,0.02,0.12,0.8,0.04,Low,Above Benchmark,No,Yes,Yes,No,Yes,None
PORT_fafda60c,Jeffery Allison,Balanced,2090.63,Asia-Pacific,0.45,0.38,0.98,0.77,Low,Below Benchmark,Yes,Yes,Yes,No,No,None
PORT_a3130932,Fernando Little,Real Assets,1716.4,U.S.,0.35,0.57,0.2,0.15,Low,Meeting Benchmark,No,No,Yes,Yes,No,None
PORT_3cb6ede8,Melissa Baird,Hedge Fund,3469.99,U.S.,0.1,0.83,0.42,0.8,Moderate,Meeting Benchmark,No,Yes,Yes,Yes,No,None
PORT_5194aa1e,Adrian Johnson,Real Assets,1962.45,EU,0.22,0.99,0.11,0.1,High,Meeting Benchmark,Yes,No,No,Yes,Yes,Conflict of Interest
PORT_6f3c5eda,Holly Osborne,Real Assets,181.15,Global,0.9,0.53,0.02,0.71,Low,Below Benchmark,Yes,Yes,No,No,Yes,Diversification Breach
PORT_7eab0d13,Kimberly Nunez,Fixed Income,1321.29,Asia-Pacific,0.35,0.02,0.74,0.26,High,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_3eb8fcc5,Monica Short,Hedge Fund,6123.12,U.S.,0.08,0.28,0.5,0.5,Low,Above Benchmark,No,Yes,No,Yes,No,None
PORT_8a3ff83e,Mary Johnson,Fixed Income,2455.52,Global,0.22,0.31,0.26,0.26,Moderate,Below Benchmark,Yes,Yes,No,Yes,Yes,Diversification Breach
PORT_b49fea01,Jerry Cabrera,Real Assets,3356.1,Asia-Pacific,0.66,0.77,0.15,0.46,Moderate,Above Benchmark,No,No,Yes,No,No,None
PORT_9d5f1b28,Jessica Massey,Real Assets,5657.42,Asia-Pacific,0.04,0.73,0.45,0.69,Low,Below Benchmark,Yes,Yes,No,Yes,No,None
PORT_d3733243,Matthew Martinez,Fixed Income,7459.08,Asia-Pacific,0.95,0.54,0.46,0.8,High,Below Benchmark,No,Yes,Yes,Yes,No,None
PORT_13c48310,Heather Collins,Fixed Income,4954.55,Global,0.61,0.46,0.1,0.38,Moderate,Below Benchmark,No,Yes,No,No,No,None
PORT_b52b0e3e,Daniel Williams,Real Assets,3188.71,Global,0.79,0.06,0.32,0.64,High,Meeting Benchmark,No,Yes,Yes,Yes,No,None
PORT_03ddbc63,Vanessa Smith,Real Assets,2998.46,Asia-Pacific,0.91,0.61,0.32,0.87,High,Above Benchmark,No,No,Yes,No,No,None
PORT_088cbb04,Mr. Michael Brown,Hedge Fund,1050.77,Global,0.07,0.68,0.19,0.85,High,Below Benchmark,No,No,No,Yes,Yes,None
PORT_2076eb5d,Gregory Murphy,Real Assets,9347.85,EU,0.11,0.14,0.16,0.6,Moderate,Below Benchmark,No,No,No,No,No,None
PORT_3dea780a,John Foster,Equity,582.11,EU,0.24,0.22,0.44,0.38,High,Below Benchmark,No,Yes,No,No,No,None
PORT_85ae8c81,Todd Garcia,Hedge Fund,5102.35,Global,0.42,0.23,0.84,0.87,Moderate,Meeting Benchmark,No,No,No,Yes,Yes,Conflict of Interest
PORT_4e626df2,Michael Richardson,Balanced,1621.54,U.S.,0.13,0.3,0.72,0.13,Moderate,Below Benchmark,Yes,No,Yes,Yes,No,None
PORT_8dcca257,Sean Henderson,Hedge Fund,7143.62,U.S.,0.73,0.15,0.52,0.26,High,Above Benchmark,Yes,No,No,No,Yes,None
PORT_8993dc97,Tammy Hickman,Equity,1579.95,U.S.,0.91,0.68,0.65,0.59,High,Below Benchmark,No,Yes,Yes,No,No,None
PORT_db307be5,Jermaine Williams,Fixed Income,7135.79,EU,0.73,0.35,0.85,0.11,Low,Meeting Benchmark,Yes,No,Yes,Yes,Yes,Diversification Breach
PORT_679d6569,Timothy Arroyo,Real Assets,3910.97,Asia-Pacific,0.86,0.96,0.92,0.21,High,Above Benchmark,No,Yes,No,No,No,None
PORT_9a3b6072,Roy Dennis,Hedge Fund,4695.53,EU,0.19,0.04,0.87,0.67,Low,Below Benchmark,No,Yes,No,No,No,None
PORT_8fe8c643,Arthur Obrien,Hedge Fund,6981.41,EU,0.2,0.36,0.01,0.65,Low,Above Benchmark,No,No,Yes,Yes,No,None
PORT_3e34412e,Jeremy Porter,Hedge Fund,7845.63,EU,0.96,0.55,0.56,0.59,Moderate,Below Benchmark,No,Yes,Yes,No,No,None
PORT_39348e5e,Daniel Mitchell,Balanced,5795.54,EU,0.15,0.02,0.37,0.1,High,Above Benchmark,Yes,No,No,No,No,None
PORT_7333194e,Brittany Jacobs,Equity,7584.64,Global,0.92,0.75,0.34,0.67,Low,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_f6c1c44c,Joseph Glenn,Equity,852.83,Asia-Pacific,0.38,0.72,0.43,0.28,Moderate,Below Benchmark,Yes,Yes,No,Yes,No,None
PORT_76ab5903,Sara Clark,Real Assets,4840.94,Asia-Pacific,0.51,0.47,0.45,0.36,Moderate,Meeting Benchmark,No,No,No,No,Yes,None
PORT_131163b2,John Walker,Fixed Income,4645.31,U.S.,0.14,0.48,0.23,0.67,High,Below Benchmark,Yes,No,Yes,No,No,None
PORT_d504b15c,Ricardo Gonzalez,Hedge Fund,3116.5,Global,0.04,0.29,0.49,0.13,Moderate,Meeting Benchmark,Yes,No,No,No,Yes,Conflict of Interest
PORT_875c99ce,Mr. Mark Ford,Balanced,3409.01,EU,0.58,0.12,0.73,0.89,High,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_55aeb296,Jessica Mcintyre,Equity,825.67,U.S.,0.24,0.37,0.44,0.79,Moderate,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_72d7b4da,James Owens,Balanced,7796.36,U.S.,0.33,0.72,0.33,0.55,High,Below Benchmark,Yes,No,No,Yes,No,None
PORT_c704c3f2,Seth Richard,Equity,6848.42,Asia-Pacific,0.56,0.31,0.48,0.17,High,Above Benchmark,No,Yes,No,Yes,No,None
PORT_de6868b7,Justin Moreno,Hedge Fund,2210.63,EU,0.91,0.13,0.95,0.99,Moderate,Below Benchmark,Yes,Yes,No,Yes,No,None
PORT_00e77b13,Anthony Horton,Real Assets,4769.36,Global,0.73,0.58,0.59,0.74,Moderate,Meeting Benchmark,Yes,No,Yes,Yes,No,None
PORT_52c04df7,Jill Lynch,Equity,7107.31,EU,0.51,0.43,0.25,0.25,Low,Above Benchmark,Yes,Yes,No,No,No,None
PORT_6ec1e6b5,Paula Thompson,Balanced,7900.66,Global,0.04,0.52,0.85,0.82,High,Meeting Benchmark,No,Yes,Yes,No,No,None
PORT_774012a1,Susan Butler,Hedge Fund,7628.9,U.S.,0.18,0.89,0.84,0.92,High,Meeting Benchmark,Yes,Yes,Yes,Yes,Yes,Style Drift
PORT_66d7e778,Angela Cruz,Balanced,2740.68,Asia-Pacific,0.92,0.82,0.4,0.18,High,Below Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_81b36996,John Chen,Real Assets,83.67,Global,0.77,0.73,0.29,0.95,High,Above Benchmark,Yes,Yes,No,Yes,No,None
PORT_29dc664d,Christopher Lyons,Fixed Income,5086.93,U.S.,0.43,0.08,0.7,0.52,High,Above Benchmark,Yes,No,No,Yes,No,None
PORT_fad1ce92,Vincent Yates,Hedge Fund,53.53,EU,0.62,0.87,0.36,0.34,High,Below Benchmark,Yes,Yes,No,No,Yes,None
PORT_3f5591d5,Christopher Adams,Hedge Fund,1349.97,U.S.,0.57,0.86,0.19,0.95,High,Above Benchmark,No,No,Yes,No,No,None
PORT_29c27097,Robert Phillips,Fixed Income,3962.19,U.S.,0.77,0.23,0.05,0.5,Moderate,Above Benchmark,No,Yes,No,Yes,No,None
PORT_f7027472,Amber Dillon,Balanced,2328.64,U.S.,0.05,0.82,0.12,1.0,Low,Above Benchmark,No,No,Yes,No,No,None
PORT_eaaf675a,Patricia Carr,Balanced,82.12,EU,0.94,0.08,0.74,0.9,Moderate,Below Benchmark,No,No,Yes,Yes,No,None
PORT_d959760a,Christopher Cook,Balanced,4214.05,U.S.,0.2,0.0,0.26,0.22,Low,Meeting Benchmark,Yes,Yes,Yes,No,No,None
PORT_c7539716,Candace Williams,Fixed Income,8927.26,EU,0.34,0.55,0.0,0.0,High,Meeting Benchmark,No,Yes,Yes,No,No,None
PORT_dd93c6c3,Gregory Miller,Fixed Income,6621.57,Asia-Pacific,0.55,0.68,0.05,0.01,Moderate,Meeting Benchmark,No,No,Yes,No,No,None
PORT_3d4da78f,Jessica Davis,Fixed Income,8110.33,U.S.,0.59,0.81,0.1,0.09,Moderate,Below Benchmark,No,Yes,No,Yes,No,None
PORT_9f3ec04d,Amber Sandoval,Equity,6230.53,Global,0.77,0.74,0.08,0.59,Moderate,Below Benchmark,No,Yes,Yes,Yes,Yes,Style Drift
PORT_a7fceec2,Jennifer Moore,Real Assets,2965.88,Asia-Pacific,0.26,0.39,0.84,0.08,Moderate,Meeting Benchmark,Yes,Yes,No,No,No,None
PORT_8cfbd61a,Carolyn Hubbard,Real Assets,6363.25,EU,0.8,0.16,0.11,0.89,Low,Meeting Benchmark,Yes,Yes,No,Yes,No,None
PORT_936812a5,Nancy Krueger,Hedge Fund,2315.79,U.S.,0.8,0.99,0.87,0.88,Low,Above Benchmark,No,Yes,No,Yes,No,None
PORT_7b014097,Emily Reynolds,Real Assets,7614.68,U.S.,0.07,0.07,0.65,0.4,High,Below Benchmark,Yes,No,No,Yes,No,None
PORT_f397a1db,Suzanne Thomas,Balanced,6758.48,EU,0.51,0.22,0.81,0.77,Moderate,Above Benchmark,No,Yes,No,Yes,Yes,Conflict of Interest
PORT_27933315,Patrick Gibbs,Balanced,6294.63,U.S.,0.39,0.85,0.22,0.4,Low,Meeting Benchmark,No,Yes,No,Yes,No,None
PORT_530408dd,Virginia Matthews,Fixed Income,7576.63,EU,0.76,0.79,0.63,0.73,Moderate,Below Benchmark,No,Yes,No,No,No,None
PORT_05a154f1,Christina Moreno,Fixed Income,9989.78,U.S.,0.7,0.9,0.27,0.82,High,Above Benchmark,No,No,Yes,Yes,No,None
PORT_6db86950,Steven Wilson,Hedge Fund,1439.71,U.S.,0.78,0.84,0.67,0.91,Moderate,Above Benchmark,No,Yes,No,Yes,No,None
PORT_6653b329,Christopher Smith,Fixed Income,5056.91,EU,0.63,0.52,0.97,0.77,Low,Meeting Benchmark,No,No,No,No,No,None
PORT_ab968995,Lori Barnett,Balanced,4614.94,Global,0.47,0.44,0.97,0.49,Moderate,Meeting Benchmark,No,Yes,No,No,No,None
PORT_98551fc8,Mark Hall,Equity,8982.41,Global,0.3,0.6,0.48,0.97,Moderate,Meeting Benchmark,Yes,No,Yes,Yes,Yes,Style Drift
PORT_8fe39b07,Tamara Carney,Fixed Income,6838.87,Asia-Pacific,0.19,0.86,0.82,0.79,Moderate,Above Benchmark,Yes,No,No,Yes,Yes,None
PORT_8e0aa511,Derrick Hoffman,Balanced,4946.35,EU,0.14,0.6,0.58,0.34,High,Below Benchmark,Yes,No,No,No,No,None
PORT_81a83e21,Vincent Williamson,Real Assets,2787.96,Global,0.21,0.57,0.23,0.52,High,Below Benchmark,Yes,No,Yes,Yes,No,None
PORT_1b79dc61,Mrs. Michelle Davis,Fixed Income,8720.54,EU,0.59,0.3,0.03,0.57,High,Meeting Benchmark,Yes,No,Yes,Yes,Yes,Style Drift
PORT_09852365,Vanessa Jones,Hedge Fund,4574.36,EU,0.49,0.59,0.96,0.76,Moderate,Below Benchmark,Yes,No,Yes,No,No,None
PORT_5750c2f7,Jonathan Graham,Fixed Income,7376.84,Asia-Pacific,0.49,0.17,0.13,0.56,Low,Above Benchmark,Yes,No,No,No,No,None
PORT_a425fd2c,Philip Walsh,Equity,8358.47,U.S.,0.64,0.16,0.15,0.83,Moderate,Above Benchmark,No,No,No,No,No,None
PORT_2a320157,Geoffrey Alexander,Balanced,7486.29,Global,0.84,0.15,0.12,0.2,High,Below Benchmark,No,Yes,No,No,Yes,None
PORT_98d79f0c,Julie Turner,Balanced,9624.34,Asia-Pacific,0.98,0.26,0.39,0.71,Low,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_98b2828f,Karen Bell,Fixed Income,5884.52,Global,0.69,0.29,0.52,0.21,Low,Above Benchmark,No,No,Yes,Yes,No,None
PORT_99cf58f2,Crystal Howard,Balanced,9349.06,U.S.,0.54,0.92,0.27,0.59,High,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_cd066c2e,Dawn Andrews,Hedge Fund,4680.04,Asia-Pacific,0.95,0.58,0.6,0.31,High,Above Benchmark,No,No,Yes,Yes,No,None
PORT_3163c024,Adam Reeves,Fixed Income,7257.56,Global,0.32,0.76,0.86,0.27,High,Above Benchmark,Yes,Yes,No,Yes,No,None
PORT_0a54e04e,Jerry Hughes,Equity,4693.5,Global,0.01,0.98,0.89,0.1,Moderate,Above Benchmark,No,No,No,Yes,No,None
PORT_2e8bd973,Christopher Leonard,Equity,8287.59,Global,0.73,0.65,0.55,0.47,Moderate,Above Benchmark,No,No,Yes,No,No,None
PORT_ea74ffce,Jesse Thomas,Real Assets,2970.06,EU,0.13,0.28,0.0,0.51,Moderate,Meeting Benchmark,Yes,Yes,Yes,No,No,None
PORT_6431d3c5,Kimberly Doyle,Hedge Fund,767.65,Asia-Pacific,0.16,0.47,0.4,0.38,Moderate,Meeting Benchmark,No,No,No,No,No,None
PORT_49080d95,James Green,Fixed Income,1280.88,EU,0.96,0.92,0.94,0.13,Low,Meeting Benchmark,No,Yes,No,Yes,No,None
PORT_546ae50e,Sara Compton,Equity,5261.39,U.S.,0.16,0.76,0.37,0.98,Moderate,Below Benchmark,Yes,No,No,Yes,No,None
PORT_12ee110f,Michael Mcdaniel,Equity,3113.6,Asia-Pacific,0.87,0.81,0.11,0.96,High,Below Benchmark,No,No,Yes,Yes,No,None
PORT_d31959f5,Thomas Terrell,Balanced,8217.59,EU,0.1,0.06,0.2,0.08,Low,Below Benchmark,Yes,No,Yes,No,Yes,Style Drift
PORT_69e14e2e,Kyle Moore,Equity,1815.7,Asia-Pacific,0.56,0.01,0.06,0.75,Moderate,Above Benchmark,Yes,No,Yes,No,No,None
PORT_b7947a1a,Jill Reeves,Fixed Income,8147.34,U.S.,0.27,0.6,0.69,0.79,High,Below Benchmark,No,No,No,Yes,No,None
PORT_19804367,Michael Delgado,Fixed Income,6232.12,EU,0.74,0.68,0.96,0.6,Low,Below Benchmark,Yes,No,No,Yes,No,None
PORT_e6abc954,William Brown,Fixed Income,4151.17,U.S.,0.07,0.47,0.3,0.16,Low,Below Benchmark,No,Yes,Yes,No,No,None
PORT_e02a4058,Casey Nelson,Hedge Fund,2278.93,Asia-Pacific,0.89,0.58,0.79,0.61,High,Meeting Benchmark,Yes,No,Yes,No,Yes,None
PORT_bc8190b3,Michael Valdez Jr.,Fixed Income,1686.36,Asia-Pacific,0.01,0.63,0.08,0.66,Moderate,Above Benchmark,No,Yes,No,Yes,No,None
PORT_999a9dc0,Carrie Hill,Balanced,7828.51,EU,0.95,0.23,0.78,0.6,Low,Above Benchmark,Yes,No,No,Yes,Yes,Diversification Breach
PORT_4b505bd8,John James,Fixed Income,2505.11,U.S.,0.3,0.46,0.36,0.39,Moderate,Below Benchmark,No,Yes,Yes,No,No,None
PORT_b4d2f278,William Benson,Balanced,5162.75,Asia-Pacific,0.74,0.97,0.46,0.57,High,Below Benchmark,No,No,Yes,No,No,None
PORT_8333e7f4,Chad Hall,Real Assets,6813.25,Asia-Pacific,0.22,0.71,0.38,0.12,High,Meeting Benchmark,Yes,No,No,No,No,None
PORT_94fc4325,Zoe Turner,Equity,4931.29,U.S.,0.21,0.19,0.98,0.46,Moderate,Meeting Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_42d6c359,Jacob Oconnell,Balanced,1790.15,Global,0.65,0.14,0.73,0.36,High,Above Benchmark,No,Yes,No,Yes,Yes,Style Drift
PORT_1ff26f0c,Ralph Stephens,Hedge Fund,5359.4,Global,0.33,0.99,0.85,0.47,Moderate,Meeting Benchmark,No,No,No,Yes,No,None
PORT_65b3c822,Mr. David Marshall,Equity,121.86,EU,0.83,0.51,0.83,0.4,Moderate,Above Benchmark,No,Yes,No,No,Yes,Conflict of Interest
PORT_b9d48923,Brian Snyder,Real Assets,1143.49,Global,0.3,0.98,0.68,0.36,High,Meeting Benchmark,No,No,Yes,No,No,None
PORT_d07bd6bb,Lisa Howell,Balanced,5730.66,Asia-Pacific,0.1,0.51,0.49,0.75,High,Above Benchmark,Yes,Yes,No,Yes,No,None
PORT_dccbd184,Vanessa Anderson,Fixed Income,7743.48,U.S.,0.77,0.85,0.37,0.45,High,Meeting Benchmark,No,No,Yes,No,No,None
PORT_adf03324,Alejandro Chung,Fixed Income,1858.91,U.S.,0.23,0.34,0.51,0.04,High,Meeting Benchmark,Yes,Yes,No,Yes,No,None
PORT_9fa66290,Joshua Castillo,Equity,3471.47,EU,0.63,0.06,0.31,0.04,Moderate,Below Benchmark,Yes,Yes,Yes,No,Yes,Diversification Breach
PORT_5157f59f,Donna Randolph,Balanced,398.45,U.S.,0.82,0.68,0.43,0.41,Low,Below Benchmark,No,Yes,Yes,No,No,None
PORT_264dfbdc,James Burton,Hedge Fund,4841.44,EU,0.34,0.69,0.88,0.2,High,Below Benchmark,Yes,Yes,Yes,No,Yes,None
PORT_7780f9af,Marcus Serrano,Real Assets,981.58,EU,0.01,0.22,0.75,0.16,Low,Below Benchmark,Yes,Yes,Yes,No,No,None
PORT_b52377cb,Michael Keith,Balanced,7746.28,EU,0.25,0.03,0.66,0.79,High,Meeting Benchmark,Yes,No,No,No,No,None
PORT_b3c844d0,Elizabeth Valencia,Fixed Income,7364.65,Global,0.57,0.6,0.25,0.53,High,Above Benchmark,Yes,No,No,No,Yes,Style Drift
PORT_fba76290,Joshua Myers,Balanced,5779.87,EU,0.65,0.92,0.79,0.58,Low,Above Benchmark,No,No,No,No,No,None
PORT_219fec8d,Christian Dodson,Real Assets,6893.6,EU,0.57,0.93,0.48,0.63,High,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_ffea4182,Tina Rodriguez,Balanced,9656.45,Asia-Pacific,0.97,0.9,0.92,0.51,Low,Below Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_605f8508,Anthony Potter,Fixed Income,7877.06,U.S.,0.83,0.37,0.15,0.69,Low,Meeting Benchmark,No,No,Yes,No,No,None
PORT_2dc9e3ca,Peter Cunningham,Fixed Income,1286.2,Asia-Pacific,0.36,0.56,0.86,0.72,High,Above Benchmark,No,No,Yes,No,No,None
PORT_f010bb66,Jeanette Swanson,Equity,4755.53,Asia-Pacific,0.7,0.0,0.36,0.79,Low,Meeting Benchmark,No,No,Yes,Yes,Yes,Conflict of Interest
PORT_ccf171a8,Mary Jackson,Balanced,2098.55,EU,0.1,0.14,0.26,0.76,Moderate,Above Benchmark,No,Yes,No,Yes,No,None
PORT_b44e6316,Randy Villarreal,Balanced,2586.39,U.S.,0.83,0.11,0.77,0.86,Moderate,Meeting Benchmark,No,Yes,No,No,No,None
PORT_5da2dfd1,Jason Ramos,Equity,9612.63,U.S.,0.97,0.71,0.11,0.25,High,Below Benchmark,No,No,Yes,Yes,No,None
PORT_de6d209a,Christina Rivera,Equity,4838.77,EU,0.38,0.25,0.69,0.72,Moderate,Meeting Benchmark,No,Yes,Yes,No,Yes,None
PORT_77c8a45e,Lauren Cannon,Hedge Fund,1642.19,EU,0.56,0.2,0.51,0.99,Low,Above Benchmark,Yes,Yes,Yes,No,Yes,None
PORT_ee5b4463,Mark Wood,Real Assets,6510.53,Global,0.61,0.36,0.05,0.59,Low,Above Benchmark,No,Yes,No,Yes,No,None
PORT_a934ab37,Brooke Crawford,Balanced,1449.87,Global,0.35,0.28,0.18,0.76,Low,Below Benchmark,No,Yes,Yes,Yes,No,None
PORT_a82884a0,Casey Bowman,Fixed Income,1452.6,U.S.,0.65,0.65,0.47,0.98,Moderate,Above Benchmark,Yes,Yes,No,Yes,Yes,Diversification Breach
PORT_79af1b62,Mary Long,Equity,9041.44,EU,0.14,0.42,0.79,0.96,Low,Meeting Benchmark,No,No,Yes,Yes,Yes,Diversification Breach
PORT_2fee5f56,Daniel Murphy II,Real Assets,7602.79,EU,0.39,0.13,0.02,0.57,Moderate,Above Benchmark,No,Yes,No,No,Yes,Diversification Breach
PORT_35f9c1d7,Shane Martinez,Balanced,3449.56,U.S.,0.44,0.05,0.77,0.57,Low,Below Benchmark,Yes,Yes,Yes,Yes,No,None
PORT_70a85d6f,Chad Aguilar,Hedge Fund,6619.33,U.S.,0.81,0.39,0.62,0.32,Low,Below Benchmark,Yes,Yes,No,No,No,None
PORT_455995da,Paul Morse,Equity,1486.18,Asia-Pacific,0.73,0.1,0.27,0.08,Low,Meeting Benchmark,No,No,Yes,No,No,None
PORT_4fa52e37,Wesley Watkins,Fixed Income,7703.88,U.S.,0.85,0.57,0.5,0.02,High,Meeting Benchmark,No,No,Yes,Yes,Yes,Style Drift
PORT_ea97ca8f,Stephanie Blanchard,Real Assets,9542.66,U.S.,0.27,0.25,0.63,0.76,Moderate,Below Benchmark,No,No,No,Yes,No,None
PORT_d506f2f4,Danielle Roy,Equity,8938.38,Asia-Pacific,0.36,0.63,0.67,0.53,High,Below Benchmark,No,No,No,No,No,None
PORT_dc3f07b7,Dalton Myers,Balanced,8101.86,Asia-Pacific,0.84,0.95,0.82,0.02,High,Above Benchmark,Yes,No,Yes,Yes,No,None
PORT_7c29da8f,Susan Medina,Hedge Fund,7045.34,Asia-Pacific,0.12,0.86,0.15,0.05,Moderate,Meeting Benchmark,No,No,No,Yes,No,None
PORT_e8166738,Raymond Irwin,Balanced,3865.11,Global,0.21,0.06,0.11,0.7,Moderate,Meeting Benchmark,Yes,No,No,Yes,No,None
PORT_536dc717,Sara Henderson,Balanced,9593.22,U.S.,0.63,0.66,0.47,0.98,High,Meeting Benchmark,No,No,No,Yes,No,None
PORT_5bdd16ac,Hunter Ramsey,Balanced,5278.41,Asia-Pacific,0.24,0.2,0.75,0.48,Low,Above Benchmark,Yes,No,No,Yes,No,None
PORT_e4cc3870,Amanda Blake,Equity,115.09,Asia-Pacific,0.99,0.97,0.6,0.15,High,Meeting Benchmark,No,No,Yes,Yes,No,None
PORT_23df8cee,Paula Bird,Hedge Fund,8727.89,Global,0.65,0.07,0.57,0.89,Moderate,Below Benchmark,Yes,Yes,Yes,No,No,None
PORT_4c7a63a9,Alicia Smith,Hedge Fund,9148.5,Global,0.06,1.0,0.36,0.34,Low,Below Benchmark,Yes,Yes,No,Yes,Yes,Style Drift
PORT_18cfcc0a,Amy Brown,Real Assets,7362.04,EU,0.68,0.15,0.28,0.33,Low,Above Benchmark,Yes,Yes,No,Yes,No,None
PORT_e55cb3c7,Anna Rogers,Hedge Fund,6087.51,U.S.,0.13,0.26,0.86,0.3,Moderate,Meeting Benchmark,No,No,No,Yes,No,None
