CardholderID,AccountNumber,CreditLimit,AvailableCredit,TotalSpentThisMonth,MinimumPayment,PaymentStatus,InterestRate,FeesCharged,RecentLargeTransactions,RiskScore,ComplianceIssues,LastPaymentDate,NextPaymentDueDate
274,385322750,13395,7791,5604,280.2,Late,0.23,25,No,66,None,2023-01-01,2023-01-02
275,487791599,19241,15155,4086,204.3,Late,0.17,35,No,58,None,2023-01-01,2023-01-02
276,307640719,8588,7923,665,33.25,Very Late,0.18,35,No,63,None,2023-01-01,2023-01-02
277,466371424,7944,4194,3750,187.5,On-Time,0.19,25,No,98,Late Fee Issues,2023-01-01,2023-01-02
278,747326920,16395,9784,6611,330.55,On-Time,0.24,25,No,78,UDAAP,2023-01-01,2023-01-02
279,403998075,7243,5035,2208,110.4,Late,0.1,15,No,80,None,2023-01-01,2023-01-02
280,135213498,12916,6503,6413,320.65,On-Time,0.17,35,No,53,None,2023-01-01,2023-01-02
281,901090885,12984,11905,1079,53.95,Late,0.2,35,No,67,None,2023-01-01,2023-01-02
282,941009615,4759,4532,227,11.35,Very Late,0.21,15,No,69,Late Fee Issues,2023-01-01,2023-01-02
283,275127900,12181,12033,148,7.4,Late,0.2,0,No,96,None,2023-01-01,2023-01-02
284,565397506,5482,4413,1069,53.45,Late,0.12,35,No,92,None,2023-01-01,2023-01-02
285,490382227,3951,2784,1167,58.35,Very Late,0.14,35,No,93,None,2023-01-01,2023-01-02
286,426241019,5079,4448,631,31.55,On-Time,0.15,0,No,58,None,2023-01-01,2023-01-02
287,862633146,5717,4354,1363,68.15,Late,0.22,35,No,62,Late Fee Issues,2023-01-01,2023-01-02
288,171244178,12692,8184,4508,225.4,Late,0.14,35,No,64,None,2023-01-01,2023-01-02
289,151939266,10311,8556,1755,87.75,Very Late,0.13,0,No,76,None,2023-01-01,2023-01-02
290,355555070,3768,3249,519,25.95,On-Time,0.24,0,No,64,Late Fee Issues,2023-01-01,2023-01-02
291,523767187,8490,4946,3544,177.2,Late,0.1,25,No,77,None,2023-01-01,2023-01-02
292,723512415,18534,11301,7233,361.65,Very Late,0.25,15,No,86,None,2023-01-01,2023-01-02
293,513075142,9645,8543,1102,55.1,Late,0.2,15,No,68,None,2023-01-01,2023-01-02
294,848898099,8232,7635,597,29.85,Very Late,0.22,0,No,75,UDAAP,2023-01-01,2023-01-02
295,918291176,14485,8730,5755,287.75,On-Time,0.14,0,Yes,75,None,2023-01-01,2023-01-02
296,920071328,8797,5524,3273,163.65,On-Time,0.1,35,No,74,None,2023-01-01,2023-01-02
297,733816999,15342,11293,4049,202.45,On-Time,0.21,25,No,75,None,2023-01-01,2023-01-02
298,687273855,11038,8433,2605,130.25,On-Time,0.23,25,No,75,None,2023-01-01,2023-01-02
299,176241446,19002,12746,6256,312.8,Late,0.21,0,No,95,None,2023-01-01,2023-01-02
300,901999185,16087,8829,7258,362.9,Late,0.12,35,No,77,None,2023-01-01,2023-01-02
301,476712039,7873,5685,2188,109.4,On-Time,0.21,35,No,98,None,2023-01-01,2023-01-02
302,690647936,4481,2557,1924,96.2,On-Time,0.22,15,No,67,TILA,2023-01-01,2023-01-02
303,854583306,13093,8268,4825,241.25,On-Time,0.2,15,No,81,None,2023-01-01,2023-01-02
304,491127003,17422,10868,6554,327.7,Late,0.21,35,No,52,None,2023-01-01,2023-01-02
305,587365080,19438,9839,9599,479.95,On-Time,0.23,15,No,51,None,2023-01-01,2023-01-02
306,997955761,10643,5797,4846,242.3,On-Time,0.19,0,No,82,None,2023-01-01,2023-01-02
307,850303382,18708,9522,9186,459.3,On-Time,0.11,35,No,91,TILA,2023-01-01,2023-01-02
308,278017694,14271,8592,5679,283.95,Very Late,0.17,15,No,68,None,2023-01-01,2023-01-02
309,646918365,15600,10802,4798,239.9,On-Time,0.11,25,No,66,None,2023-01-01,2023-01-02
310,940887593,13998,7393,6605,330.25,Very Late,0.16,35,No,93,None,2023-01-01,2023-01-02
311,134109026,17295,14309,2986,149.3,Very Late,0.16,35,No,82,None,2023-01-01,2023-01-02
312,787126267,13682,13282,400,20.0,On-Time,0.11,25,No,61,None,2023-01-01,2023-01-02
313,851425679,19380,16525,2855,142.75,Very Late,0.15,0,No,98,None,2023-01-01,2023-01-02
314,388717145,11519,9295,2224,111.2,On-Time,0.12,25,No,52,None,2023-01-01,2023-01-02
315,337085688,6300,6244,56,2.8,Late,0.22,35,No,92,None,2023-01-01,2023-01-02
316,171450611,9722,7847,1875,93.75,Late,0.24,0,No,98,None,2023-01-01,2023-01-02
317,227348283,10218,5675,4543,227.15,Late,0.11,15,No,75,None,2023-01-01,2023-01-02
318,146510960,6054,5852,202,10.1,Late,0.24,15,Yes,84,UDAAP,2023-01-01,2023-01-02
319,499873327,16575,12807,3768,188.4,Very Late,0.18,15,No,57,None,2023-01-01,2023-01-02
320,732286859,10970,6137,4833,241.65,On-Time,0.14,35,Yes,85,None,2023-01-01,2023-01-02
321,350368452,5143,4942,201,10.05,On-Time,0.11,25,No,56,None,2023-01-01,2023-01-02
322,746040612,12503,11150,1353,67.65,On-Time,0.18,0,No,95,None,2023-01-01,2023-01-02
323,669668767,18149,13162,4987,249.35,Late,0.22,15,No,95,None,2023-01-01,2023-01-02
324,671666426,15175,8578,6597,329.85,Late,0.21,0,No,85,TILA,2023-01-01,2023-01-02
325,910490870,11356,7045,4311,215.55,On-Time,0.11,35,No,65,None,2023-01-01,2023-01-02
326,482380040,18070,15136,2934,146.7,Late,0.11,15,No,73,Late Fee Issues,2023-01-01,2023-01-02
327,224001512,3822,3800,22,1.1,On-Time,0.16,35,No,50,None,2023-01-01,2023-01-02
328,526101858,17289,16080,1209,60.45,On-Time,0.14,25,No,98,None,2023-01-01,2023-01-02
329,960530322,9150,6854,2296,114.8,On-Time,0.13,35,No,74,TILA,2023-01-01,2023-01-02
330,515156431,7425,6677,748,37.4,On-Time,0.14,35,No,59,None,2023-01-01,2023-01-02
331,731833730,19032,18228,804,40.2,On-Time,0.22,25,No,65,UDAAP,2023-01-01,2023-01-02
332,556659347,5198,5065,133,6.65,On-Time,0.24,0,No,65,None,2023-01-01,2023-01-02
333,688781719,6452,6132,320,16.0,On-Time,0.16,25,No,57,TILA,2023-01-01,2023-01-02
334,763607349,12106,9669,2437,121.85,Late,0.24,25,No,78,None,2023-01-01,2023-01-02
335,228314487,16859,11718,5141,257.05,On-Time,0.15,35,No,88,None,2023-01-01,2023-01-02
336,691718048,11705,6737,4968,248.4,On-Time,0.17,0,No,77,None,2023-01-01,2023-01-02
337,710021271,13112,9441,3671,183.55,Late,0.13,15,No,55,None,2023-01-01,2023-01-02
338,533484403,7841,4105,3736,186.8,Late,0.2,25,No,65,None,2023-01-01,2023-01-02
339,461378378,18358,11066,7292,364.6,Late,0.25,0,No,69,None,2023-01-01,2023-01-02
340,897296240,4409,2311,2098,104.9,On-Time,0.19,25,No,65,None,2023-01-01,2023-01-02
341,794190023,7566,5343,2223,111.15,Very Late,0.15,25,No,56,None,2023-01-01,2023-01-02
342,251786915,14382,11465,2917,145.85,Very Late,0.2,25,No,90,None,2023-01-01,2023-01-02
343,738035365,17596,9152,8444,422.2,Late,0.12,25,No,63,None,2023-01-01,2023-01-02
344,825799015,3804,2839,965,48.25,Very Late,0.23,35,No,92,None,2023-01-01,2023-01-02
345,557109331,16221,8808,7413,370.65,Late,0.18,0,No,75,None,2023-01-01,2023-01-02
346,446546429,4279,3541,738,36.9,On-Time,0.17,0,No,75,None,2023-01-01,2023-01-02
347,139501026,16192,15063,1129,56.45,Very Late,0.19,0,No,63,None,2023-01-01,2023-01-02
348,625200495,10083,6819,3264,163.2,On-Time,0.19,25,Yes,56,None,2023-01-01,2023-01-02
349,535816957,14093,8658,5435,271.75,Very Late,0.11,35,No,82,TILA,2023-01-01,2023-01-02
350,916616920,15880,15579,301,15.05,On-Time,0.2,25,No,75,Late Fee Issues,2023-01-01,2023-01-02
351,802234722,18517,11826,6691,334.55,Very Late,0.14,25,No,94,None,2023-01-01,2023-01-02
352,121739356,5106,3129,1977,98.85,On-Time,0.21,0,Yes,69,None,2023-01-01,2023-01-02
353,245689489,19086,16323,2763,138.15,On-Time,0.22,25,No,52,None,2023-01-01,2023-01-02
354,790665343,7831,5005,2826,141.3,Very Late,0.22,15,No,53,None,2023-01-01,2023-01-02
355,337785965,6186,3871,2315,115.75,On-Time,0.18,25,No,75,None,2023-01-01,2023-01-02
356,309310033,5573,5023,550,27.5,On-Time,0.18,15,No,60,None,2023-01-01,2023-01-02
357,924183605,15808,10234,5574,278.7,On-Time,0.12,25,No,51,None,2023-01-01,2023-01-02
358,952225186,5599,4284,1315,65.75,Very Late,0.22,35,No,63,None,2023-01-01,2023-01-02
359,752668623,7033,5446,1587,79.35,Very Late,0.14,35,Yes,93,None,2023-01-01,2023-01-02
360,855593187,11428,9606,1822,91.1,On-Time,0.17,0,Yes,79,Late Fee Issues,2023-01-01,2023-01-02
361,177633091,4304,2480,1824,91.2,On-Time,0.14,25,No,98,None,2023-01-01,2023-01-02
362,423839252,11633,6373,5260,263.0,Very Late,0.12,15,Yes,61,Late Fee Issues,2023-01-01,2023-01-02
363,868037679,14372,11155,3217,160.85,Very Late,0.19,15,No,75,UDAAP,2023-01-01,2023-01-02
364,600229623,11996,8500,3496,174.8,On-Time,0.11,25,No,93,None,2023-01-01,2023-01-02
365,742668415,19458,15049,4409,220.45,On-Time,0.21,15,No,82,None,2023-01-01,2023-01-02
366,526161286,8475,7763,712,35.6,On-Time,0.15,35,No,62,None,2023-01-01,2023-01-02
367,776942224,10184,8009,2175,108.75,Late,0.1,15,No,63,UDAAP,2023-01-01,2023-01-02
368,349369215,15875,10469,5406,270.3,Very Late,0.18,0,No,73,UDAAP,2023-01-01,2023-01-02
369,393383200,4622,4352,270,13.5,Late,0.11,35,No,83,None,2023-01-01,2023-01-02
370,282708911,18988,17909,1079,53.95,Very Late,0.14,35,Yes,93,None,2023-01-01,2023-01-02
371,502330059,11041,8163,2878,143.9,Very Late,0.21,35,No,75,None,2023-01-01,2023-01-02
372,137856186,19725,14403,5322,266.1,Very Late,0.11,25,No,70,None,2023-01-01,2023-01-02
373,605585522,10992,6269,4723,236.15,Very Late,0.23,25,No,77,None,2023-01-01,2023-01-02
374,685544149,18646,9851,8795,439.75,Very Late,0.1,35,No,97,TILA,2023-01-01,2023-01-02
375,165293686,7263,6102,1161,58.05,Very Late,0.14,25,Yes,85,None,2023-01-01,2023-01-02
376,101983509,17060,9078,7982,399.1,Very Late,0.21,15,Yes,89,None,2023-01-01,2023-01-02
377,485992349,18156,11942,6214,310.7,Late,0.15,25,No,51,None,2023-01-01,2023-01-02
378,714600044,11646,6640,5006,250.3,On-Time,0.12,25,No,91,None,2023-01-01,2023-01-02
379,710085301,14664,10679,3985,199.25,On-Time,0.15,35,No,58,None,2023-01-01,2023-01-02
380,770439175,5969,5376,593,29.65,Late,0.14,0,No,72,None,2023-01-01,2023-01-02
381,663236122,6028,4633,1395,69.75,Late,0.23,0,No,64,TILA,2023-01-01,2023-01-02
382,891967770,6629,6030,599,29.95,Late,0.15,0,No,62,TILA,2023-01-01,2023-01-02
383,292463073,6067,5554,513,25.65,Late,0.22,15,No,72,None,2023-01-01,2023-01-02
384,529833492,8941,7875,1066,53.3,Very Late,0.23,25,No,66,Late Fee Issues,2023-01-01,2023-01-02
385,111326237,14555,11669,2886,144.3,On-Time,0.17,0,No,97,None,2023-01-01,2023-01-02
386,723214176,16081,10028,6053,302.65,Very Late,0.24,35,No,51,None,2023-01-01,2023-01-02
387,430299675,9819,7166,2653,132.65,On-Time,0.16,0,No,69,None,2023-01-01,2023-01-02
388,825523310,14046,9141,4905,245.25,On-Time,0.24,0,No,69,None,2023-01-01,2023-01-02
389,590345952,5711,3531,2180,109.0,Late,0.11,25,No,95,TILA,2023-01-01,2023-01-02
390,938562244,7853,4387,3466,173.3,Very Late,0.2,25,No,52,None,2023-01-01,2023-01-02
391,232166290,10715,9627,1088,54.4,Late,0.17,25,No,61,None,2023-01-01,2023-01-02
392,409255683,11942,7557,4385,219.25,Very Late,0.16,15,Yes,89,None,2023-01-01,2023-01-02
393,204436258,18507,13643,4864,243.2,On-Time,0.19,15,No,51,None,2023-01-01,2023-01-02
394,179688895,18826,16312,2514,125.7,Late,0.21,0,No,85,None,2023-01-01,2023-01-02
395,724798768,4762,4292,470,23.5,Late,0.1,25,No,63,None,2023-01-01,2023-01-02
396,287276799,18850,16654,2196,109.8,On-Time,0.13,0,No,65,None,2023-01-01,2023-01-02
397,860684560,15112,10929,4183,209.15,On-Time,0.21,35,No,68,None,2023-01-01,2023-01-02
398,918013403,15652,8161,7491,374.55,On-Time,0.2,35,Yes,83,Late Fee Issues,2023-01-01,2023-01-02
399,975866588,9122,8333,789,39.45,Late,0.24,25,No,93,None,2023-01-01,2023-01-02
400,226960685,3481,2054,1427,71.35,Very Late,0.21,25,No,95,None,2023-01-01,2023-01-02
401,808087156,17536,16227,1309,65.45,Late,0.24,35,No,55,None,2023-01-01,2023-01-02
402,673352453,3153,1748,1405,70.25,Very Late,0.21,25,No,62,None,2023-01-01,2023-01-02
403,616077666,10617,9753,864,43.2,Late,0.14,15,No,85,None,2023-01-01,2023-01-02
404,166385640,4524,3231,1293,64.65,Late,0.12,15,No,71,None,2023-01-01,2023-01-02
405,972186916,5120,5097,23,1.15,On-Time,0.22,25,Yes,67,TILA,2023-01-01,2023-01-02
406,865872407,18048,15045,3003,150.15,Very Late,0.2,35,No,61,None,2023-01-01,2023-01-02
407,446819932,5343,3457,1886,94.3,Late,0.11,0,No,79,Late Fee Issues,2023-01-01,2023-01-02
408,865295088,8136,7826,310,15.5,Late,0.15,25,No,89,UDAAP,2023-01-01,2023-01-02
409,326623789,4240,2756,1484,74.2,On-Time,0.24,25,No,56,None,2023-01-01,2023-01-02
410,410493790,3060,1829,1231,61.55,On-Time,0.18,0,No,81,None,2023-01-01,2023-01-02
411,542422240,12130,8342,3788,189.4,Very Late,0.16,25,No,97,None,2023-01-01,2023-01-02
412,423609715,15312,12601,2711,135.55,Late,0.17,0,No,68,UDAAP,2023-01-01,2023-01-02
413,290906558,16350,9769,6581,329.05,Very Late,0.13,35,No,55,TILA,2023-01-01,2023-01-02
414,339216892,15418,7713,7705,385.25,Late,0.16,15,Yes,69,None,2023-01-01,2023-01-02
415,680240340,4252,3547,705,35.25,Very Late,0.16,35,No,76,None,2023-01-01,2023-01-02
416,919956639,11363,5908,5455,272.75,On-Time,0.11,15,No,92,None,2023-01-01,2023-01-02
417,534378710,12650,12229,421,21.05,Late,0.22,0,No,86,UDAAP,2023-01-01,2023-01-02
418,179348896,19314,18368,946,47.3,Very Late,0.16,15,Yes,97,UDAAP,2023-01-01,2023-01-02
419,387427839,7090,5904,1186,59.3,On-Time,0.22,35,No,56,None,2023-01-01,2023-01-02
420,827965823,9960,8126,1834,91.7,On-Time,0.23,15,No,54,None,2023-01-01,2023-01-02
421,626936081,6004,4440,1564,78.2,Very Late,0.13,0,No,60,None,2023-01-01,2023-01-02
422,343959576,19713,12381,7332,366.6,Late,0.2,15,No,64,None,2023-01-01,2023-01-02
423,721445097,6640,5792,848,42.4,Late,0.17,25,No,52,Late Fee Issues,2023-01-01,2023-01-02
424,899528670,4341,2752,1589,79.45,On-Time,0.23,35,Yes,54,None,2023-01-01,2023-01-02
425,504642357,14855,9441,5414,270.7,Late,0.13,25,No,72,None,2023-01-01,2023-01-02
426,941941561,3338,3297,41,2.05,Late,0.2,0,No,86,None,2023-01-01,2023-01-02
427,873166402,8895,6948,1947,97.35,Late,0.19,15,No,58,UDAAP,2023-01-01,2023-01-02
428,400910439,15254,13946,1308,65.4,On-Time,0.14,25,No,64,None,2023-01-01,2023-01-02
429,402434989,14344,11358,2986,149.3,Very Late,0.12,25,No,52,None,2023-01-01,2023-01-02
430,517369879,4750,4364,386,19.3,Late,0.2,15,Yes,78,None,2023-01-01,2023-01-02
431,997299057,5421,3386,2035,101.75,On-Time,0.21,15,No,55,UDAAP,2023-01-01,2023-01-02
432,593952287,10119,8958,1161,58.05,On-Time,0.15,35,Yes,66,Late Fee Issues,2023-01-01,2023-01-02
433,835055790,8319,5061,3258,162.9,Very Late,0.2,25,No,75,None,2023-01-01,2023-01-02
434,566634390,18896,12775,6121,306.05,Late,0.16,25,No,70,None,2023-01-01,2023-01-02
435,701656257,14918,7865,7053,352.65,Late,0.21,0,No,57,None,2023-01-01,2023-01-02
436,117882750,16849,12038,4811,240.55,Very Late,0.13,35,No,70,None,2023-01-01,2023-01-02
437,178725274,7873,5395,2478,123.9,Very Late,0.23,0,No,60,None,2023-01-01,2023-01-02
438,294521577,7806,5205,2601,130.05,On-Time,0.14,25,No,87,TILA,2023-01-01,2023-01-02
439,647063169,11592,7659,3933,196.65,On-Time,0.16,0,No,57,None,2023-01-01,2023-01-02
440,411603161,15182,7599,7583,379.15,Very Late,0.11,25,No,91,Late Fee Issues,2023-01-01,2023-01-02
441,523783527,19774,18335,1439,71.95,Late,0.12,25,No,73,None,2023-01-01,2023-01-02
442,946176160,15045,8876,6169,308.45,On-Time,0.18,0,No,84,None,2023-01-01,2023-01-02
443,686784136,7430,3988,3442,172.1,On-Time,0.14,0,No,63,None,2023-01-01,2023-01-02
444,969662506,11820,7340,4480,224.0,Late,0.23,15,No,63,None,2023-01-01,2023-01-02
445,997265909,7232,7177,55,2.75,On-Time,0.1,15,No,59,None,2023-01-01,2023-01-02
446,570260911,14122,10798,3324,166.2,Late,0.16,15,No,61,None,2023-01-01,2023-01-02
447,326860070,18023,11246,6777,338.85,Late,0.15,25,No,87,None,2023-01-01,2023-01-02
448,287225564,11007,10902,105,5.25,Late,0.1,0,No,93,None,2023-01-01,2023-01-02
449,299759529,12018,8817,3201,160.05,Very Late,0.12,35,No,95,None,2023-01-01,2023-01-02
450,354954230,4500,3831,669,33.45,Very Late,0.16,25,No,83,UDAAP,2023-01-01,2023-01-02
451,829203225,9737,5266,4471,223.55,Very Late,0.17,35,No,90,None,2023-01-01,2023-01-02
452,358185058,6294,5552,742,37.1,Late,0.16,0,No,59,Late Fee Issues,2023-01-01,2023-01-02
453,126658609,7497,6531,966,48.3,Late,0.18,25,No,66,None,2023-01-01,2023-01-02
454,602821784,3614,3307,307,15.35,Very Late,0.19,35,No,66,None,2023-01-01,2023-01-02
455,578947735,12374,10236,2138,106.9,On-Time,0.1,35,No,52,None,2023-01-01,2023-01-02
456,801112844,5667,4866,801,40.05,Late,0.17,15,No,80,Late Fee Issues,2023-01-01,2023-01-02
457,450444347,16409,16300,109,5.45,On-Time,0.24,15,No,50,None,2023-01-01,2023-01-02
458,148715257,19514,15882,3632,181.6,On-Time,0.18,15,No,61,None,2023-01-01,2023-01-02
459,122268806,5983,4319,1664,83.2,Late,0.2,25,Yes,88,None,2023-01-01,2023-01-02
460,106512440,15651,8923,6728,336.4,Late,0.15,0,No,53,None,2023-01-01,2023-01-02
461,649302307,11230,6795,4435,221.75,On-Time,0.22,0,No,91,None,2023-01-01,2023-01-02
462,307426220,9640,7725,1915,95.75,On-Time,0.22,15,No,62,None,2023-01-01,2023-01-02
463,934400275,14779,10516,4263,213.15,Very Late,0.18,15,No,83,None,2023-01-01,2023-01-02
464,744090176,18317,17761,556,27.8,Very Late,0.25,15,No,91,Late Fee Issues,2023-01-01,2023-01-02
465,404688903,10564,5564,5000,250.0,Late,0.12,35,No,70,None,2023-01-01,2023-01-02
466,967441151,18520,18416,104,5.2,Very Late,0.1,15,No,71,None,2023-01-01,2023-01-02
467,730431725,16737,14690,2047,102.35,Very Late,0.22,35,No,53,None,2023-01-01,2023-01-02
468,296678031,12323,12178,145,7.25,Very Late,0.22,0,No,67,None,2023-01-01,2023-01-02
469,318049165,18229,17356,873,43.65,Very Late,0.12,25,No,54,None,2023-01-01,2023-01-02
470,701318347,14713,14415,298,14.9,On-Time,0.14,25,No,68,None,2023-01-01,2023-01-02
471,686766194,11502,8264,3238,161.9,Late,0.1,25,Yes,51,UDAAP,2023-01-01,2023-01-02
472,477936342,3545,1809,1736,86.8,Very Late,0.14,25,Yes,61,Late Fee Issues,2023-01-01,2023-01-02
473,218613134,7346,6701,645,32.25,On-Time,0.22,35,No,66,Late Fee Issues,2023-01-01,2023-01-02
474,639374683,12996,8263,4733,236.65,On-Time,0.18,35,No,59,None,2023-01-01,2023-01-02
475,438722145,18775,12393,6382,319.1,On-Time,0.15,15,No,83,None,2023-01-01,2023-01-02
476,503649345,16919,14408,2511,125.55,Very Late,0.16,35,No,55,None,2023-01-01,2023-01-02
477,909490207,6810,4310,2500,125.0,Very Late,0.1,15,No,57,None,2023-01-01,2023-01-02
478,436210646,10206,9423,783,39.15,Late,0.14,15,No,60,None,2023-01-01,2023-01-02
479,838846654,12005,7013,4992,249.6,Very Late,0.2,25,Yes,61,None,2023-01-01,2023-01-02
480,254370901,19371,19001,370,18.5,Very Late,0.25,35,No,58,None,2023-01-01,2023-01-02
481,435663154,15316,14830,486,24.3,On-Time,0.23,35,No,51,None,2023-01-01,2023-01-02
482,765898681,11436,9399,2037,101.85,Late,0.1,15,No,57,None,2023-01-01,2023-01-02
483,283157310,15984,9676,6308,315.4,Very Late,0.23,15,No,60,None,2023-01-01,2023-01-02
484,256943484,3271,2123,1148,57.4,Very Late,0.22,0,No,85,None,2023-01-01,2023-01-02
485,481966485,13616,12256,1360,68.0,On-Time,0.22,0,No,59,None,2023-01-01,2023-01-02
486,490125881,7361,7170,191,9.55,On-Time,0.17,15,No,70,None,2023-01-01,2023-01-02
487,574184249,10069,5244,4825,241.25,Very Late,0.16,0,No,69,None,2023-01-01,2023-01-02
488,230997589,6430,4169,2261,113.05,Late,0.15,0,No,97,Late Fee Issues,2023-01-01,2023-01-02
489,101079600,15676,13055,2621,131.05,Late,0.11,15,No,57,None,2023-01-01,2023-01-02
490,260409267,13816,12860,956,47.8,On-Time,0.13,15,No,85,None,2023-01-01,2023-01-02
491,266793897,5050,4670,380,19.0,On-Time,0.14,35,No,78,None,2023-01-01,2023-01-02
492,411817029,14692,7876,6816,340.8,Very Late,0.17,15,No,91,None,2023-01-01,2023-01-02
493,328773646,4165,3368,797,39.85,On-Time,0.21,15,No,61,Late Fee Issues,2023-01-01,2023-01-02
494,573265205,5033,4795,238,11.9,Very Late,0.17,25,No,63,None,2023-01-01,2023-01-02
495,259267818,3145,1590,1555,77.75,Late,0.11,35,No,97,None,2023-01-01,2023-01-02
496,645720763,17269,10426,6843,342.15,Late,0.24,35,No,99,Late Fee Issues,2023-01-01,2023-01-02
497,429214564,10832,9727,1105,55.25,Very Late,0.24,35,Yes,70,None,2023-01-01,2023-01-02
498,195534048,17286,15900,1386,69.3,On-Time,0.22,25,No,71,None,2023-01-01,2023-01-02
499,434444807,5632,3080,2552,127.6,Late,0.25,15,Yes,70,None,2023-01-01,2023-01-02
500,185871668,7494,5245,2249,112.45,On-Time,0.18,35,No,93,None,2023-01-01,2023-01-02
501,192526139,18152,16485,1667,83.35,Late,0.24,35,No,99,None,2023-01-01,2023-01-02
502,627810564,12155,8023,4132,206.6,Very Late,0.11,0,No,79,None,2023-01-01,2023-01-02
503,990197094,13426,10735,2691,134.55,Very Late,0.15,35,No,88,UDAAP,2023-01-01,2023-01-02
504,466564547,13233,9561,3672,183.6,Very Late,0.13,15,No,69,None,2023-01-01,2023-01-02
505,495236101,4828,2832,1996,99.8,Late,0.13,15,No,73,None,2023-01-01,2023-01-02
506,321971308,15260,13835,1425,71.25,On-Time,0.12,0,No,72,None,2023-01-01,2023-01-02
507,934855903,12130,9318,2812,140.6,On-Time,0.19,35,No,56,TILA,2023-01-01,2023-01-02
508,234667123,7805,5052,2753,137.65,On-Time,0.22,35,No,58,Late Fee Issues,2023-01-01,2023-01-02
509,793009757,3806,2607,1199,59.95,Late,0.19,35,No,50,None,2023-01-01,2023-01-02
510,274526510,11202,8610,2592,129.6,Late,0.12,25,No,75,None,2023-01-01,2023-01-02
511,956898402,4868,3378,1490,74.5,Late,0.22,35,No,87,None,2023-01-01,2023-01-02
512,690256950,17561,16337,1224,61.2,Late,0.2,15,No,87,None,2023-01-01,2023-01-02
513,694221991,18512,15925,2587,129.35,Late,0.16,15,No,93,None,2023-01-01,2023-01-02
514,670137231,17899,10185,7714,385.7,On-Time,0.2,25,Yes,71,None,2023-01-01,2023-01-02
515,170009467,19220,16156,3064,153.2,Late,0.14,25,No,93,None,2023-01-01,2023-01-02
516,413345693,18934,11130,7804,390.2,Late,0.15,35,No,59,TILA,2023-01-01,2023-01-02
517,276383634,8429,7597,832,41.6,On-Time,0.24,0,No,55,None,2023-01-01,2023-01-02
518,294073232,12076,7384,4692,234.6,Late,0.14,25,No,66,UDAAP,2023-01-01,2023-01-02
519,739180919,6564,4124,2440,122.0,On-Time,0.17,25,No,99,None,2023-01-01,2023-01-02
520,189473854,4389,3690,699,34.95,On-Time,0.23,35,No,87,None,2023-01-01,2023-01-02
521,888215570,14593,12947,1646,82.3,Very Late,0.21,35,No,73,None,2023-01-01,2023-01-02
522,911626075,10274,9834,440,22.0,Very Late,0.11,25,No,59,None,2023-01-01,2023-01-02
523,436967606,13745,7789,5956,297.8,Very Late,0.12,0,No,57,None,2023-01-01,2023-01-02
524,103695961,17199,14832,2367,118.35,Very Late,0.1,25,No,70,None,2023-01-01,2023-01-02
525,208880612,18876,12180,6696,334.8,Late,0.19,35,No,55,None,2023-01-01,2023-01-02
526,891707097,11245,7959,3286,164.3,Very Late,0.17,35,No,70,None,2023-01-01,2023-01-02
527,447346749,10214,5551,4663,233.15,On-Time,0.12,25,No,88,None,2023-01-01,2023-01-02
528,469281814,3726,2808,918,45.9,Late,0.24,0,No,73,None,2023-01-01,2023-01-02
529,865854846,16832,12501,4331,216.55,Very Late,0.18,25,No,82,None,2023-01-01,2023-01-02
530,941702792,14362,13058,1304,65.2,On-Time,0.14,25,Yes,67,None,2023-01-01,2023-01-02
531,909600907,13106,10072,3034,151.7,Late,0.18,35,No,77,TILA,2023-01-01,2023-01-02
532,782697716,10657,6969,3688,184.4,Late,0.2,0,No,81,None,2023-01-01,2023-01-02
533,349939584,17551,14289,3262,163.1,Very Late,0.11,15,No,61,None,2023-01-01,2023-01-02
534,844293433,10906,5778,5128,256.4,Late,0.14,0,No,97,None,2023-01-01,2023-01-02
535,809587577,10287,8180,2107,105.35,On-Time,0.22,25,No,91,None,2023-01-01,2023-01-02
536,771891968,3892,3000,892,44.6,Late,0.17,25,No,76,UDAAP,2023-01-01,2023-01-02
537,926146542,13222,11382,1840,92.0,On-Time,0.18,25,No,59,None,2023-01-01,2023-01-02
538,101043233,7675,7451,224,11.2,Late,0.16,0,No,95,None,2023-01-01,2023-01-02
539,311426941,4933,3091,1842,92.1,Very Late,0.11,35,No,91,None,2023-01-01,2023-01-02
540,503182709,14873,12126,2747,137.35,On-Time,0.12,25,No,81,None,2023-01-01,2023-01-02
541,885403480,16239,11562,4677,233.85,Late,0.17,25,No,91,UDAAP,2023-01-01,2023-01-02
542,788042471,13874,9610,4264,213.2,Late,0.13,0,No,75,None,2023-01-01,2023-01-02
543,892911084,8016,4883,3133,156.65,Late,0.11,15,No,74,None,2023-01-01,2023-01-02
544,228565108,16774,15309,1465,73.25,On-Time,0.23,15,No,60,None,2023-01-01,2023-01-02
545,693867648,12752,8643,4109,205.45,On-Time,0.25,35,No,72,None,2023-01-01,2023-01-02
546,979889679,18585,16374,2211,110.55,On-Time,0.22,35,Yes,83,None,2023-01-01,2023-01-02
547,171709884,10291,7487,2804,140.2,Very Late,0.23,25,No,89,None,2023-01-01,2023-01-02
548,774788031,3974,2104,1870,93.5,Very Late,0.14,0,No,72,None,2023-01-01,2023-01-02
549,333448894,7133,5590,1543,77.15,On-Time,0.24,25,No,78,Late Fee Issues,2023-01-01,2023-01-02
